Time,e_0,e`_1,q_0,q_4,dq_0,dq_4,dqr_0,dqr_1,dqd_0,dqd_1,ddqd_0,ddqd_1,tau_0,tau_4,Fext_0,Fext_1,N_hat_1,N_hat_2
0.001, -0.285485, -0.448819, 1.57078, -1.57079, -0.00213364, 0.000356109, -0.293182, -0.458799, -0.287619, -0.448463, -0.0448045, -0.068953, -3.01966, -4.48824, -0.001, -0.184, -1.32979, -2.0836
0.002, -0.285159, -0.447793, 1.57077, -1.57079, -0.00243844, -0.000712219, -0.293116, -0.458773, -0.287597, -0.448505, 0.0215887, -0.042075, -4.34651, -6.56311, -0.001, -0.184, -2.65814, -4.16269
0.003, -0.280999, -0.404134, 1.57075, -1.57089, -0.00640092, -0.0441576, -0.292876, -0.458492, -0.2874, -0.448292, 0.196893, 0.213416, -5.63345, -8.25134, -0.001, -0.184, -3.96431, -6.03394
0.004, -0.273961, -0.300087, 1.57068, -1.5715, -0.012497, -0.146717, -0.291894, -0.456945, -0.286458, -0.446805, 0.942759, 1.48711, -6.79947, -8.91985, -0.001, -0.184, -5.16294, -7.16289
0.005, -0.271309, -0.197144, 1.57061, -1.57254, -0.0137163, -0.24714, -0.290425, -0.45437, -0.285025, -0.444284, 1.43231, 2.52029, -7.89846, -8.79784, -0.001, -0.184, -6.27425, -7.5247
0.006, -0.26963, -0.102694, 1.57055, -1.57407, -0.0134114, -0.337948, -0.288407, -0.450679, -0.283041, -0.440642, 1.98407, 3.64222, -8.85475, -7.97097, -0.001, -0.184, -7.23835, -7.15929
0.007, -0.262215, 0.0238092, 1.57045, -1.57696, -0.0170691, -0.457601, -0.284625, -0.443796, -0.279284, -0.433791, 3.75744, 6.85058, -8.69161, -4.03055, -0.001, -0.184, -7.10978, -4.44957
0.008, -0.227144, 0.193204, 1.57017, -1.58186, -0.0448064, -0.615357, -0.277285, -0.432149, -0.271951, -0.422153, 7.3332, 11.6381, -5.75436, -0.0235095, -0.001, -0.184, -4.33778, -1.27769
0.009, -0.188622, 0.274667, 1.56967, -1.58738, -0.0734581, -0.68373, -0.26742, -0.419057, -0.26208, -0.409063, 9.8708, 13.0906, -3.65785, 0.875797, -0.001, -0.184, -2.42577, -0.764016
0.01, -0.185947, 0.239591, 1.56909, -1.59265, -0.0655332, -0.636368, -0.256829, -0.406765, -0.25148, -0.396777, 10.6, 12.2862, -3.23003, 0.476977, -0.001, -0.184, -2.01086, -0.99857
