Time,e_0,e_1,s_0,s_1,k1_0,k1_1,q_0,q_4,dq_0,dq_4,dqr_0,dqr_1,dqd_0,dqd_1,ddqd_0,ddqd_1,tau_0,tau_4,Fext_0,Fext_1
0.001, -0.285468, -0.449871, -0.308695, -0.247868, 45, 200, 1.57079, -1.57079, -0.00213364, 0.00142444, -0.293197, -0.45881, -0.287602, -0.448446, -0.0281169, -0.0520806, -14.7331, -2.71387, -0, -0
0.002, -0.28289, -0.446658, -0.312276, -0.257507, 45, 200, 1.57075, -1.57079, -0.00457208, -0.00178055, -0.29303, -0.458751, -0.287462, -0.448438, 0.139871, 0.00769242, -14.9101, -2.79574, -0, -0
0.003, -0.26361, -0.432594, -0.296577, -0.260886, 45, 200, 1.57069, -1.57083, -0.02347, -0.0156688, -0.292623, -0.458524, -0.28708, -0.448262, 0.381764, 0.175999, -14.6528, -2.8413, -0, -0
0.004, -0.240432, -0.416072, -0.276654, -0.262792, 45, 200, 1.57053, -1.57094, -0.0457208, -0.0316937, -0.291672, -0.457979, -0.286153, -0.447766, 0.927532, 0.496864, -14.201, -2.87727, -0, -0
0.005, -0.228147, -0.405037, -0.269094, -0.267721, 45, 200, 1.5703, -1.57109, -0.0566938, -0.0420209, -0.290339, -0.457224, -0.284841, -0.447057, 1.3121, 0.708045, -14.0514, -2.93128, -0, -0
0.006, -0.213325, -0.387428, -0.258737, -0.268875, 45, 200, 1.56988, -1.57146, -0.0688861, -0.0580458, -0.287695, -0.455597, -0.282211, -0.445474, 2.6298, 1.58367, -13.5816, -2.95855, -0, -0
0.007, -0.187781, -0.363174, -0.236711, -0.266222, 45, 200, 1.56931, -1.57195, -0.0908321, -0.0801246, -0.284088, -0.453382, -0.278613, -0.443298, 3.59784, 2.17554, -12.8689, -2.96482, -0, -0
0.008, -0.166522, -0.349892, -0.219468, -0.269536, 45, 200, 1.56888, -1.57229, -0.109425, -0.0918762, -0.281408, -0.451809, -0.275947, -0.441768, 2.66591, 1.5303, -12.7251, -3.01489, -0, -0
0.009, -0.1391, -0.335868, -0.195738, -0.272343, 45, 200, 1.56826, -1.57279, -0.132895, -0.103628, -0.277448, -0.449499, -0.271995, -0.439496, 3.95214, 2.27194, -11.8245, -3.05155, -0, -0
0.01, -0.1236, -0.329402, -0.184571, -0.279203, 45, 200, 1.56784, -1.5731, -0.145697, -0.108613, -0.274737, -0.447976, -0.269297, -0.438016, 2.69795, 1.48052, -11.8792, -3.12379, -0, -0
