Time,e_0,e_1,s_0,s_1,k1_0,k1_1,q_0,q_4,dq_0,dq_4,dqr_0,dqr_1,dqd_0,dqd_1,ddqd_0,ddqd_1,tau_0,tau_4,Fext_0,Fext_1
0.001, -0.285773, -0.450583, -0.30905, -0.248279, 3.04243, 3.06325, 1.57078, -1.57079, -0.00182883, 0.00213666, -0.293186, -0.458814, -0.287602, -0.448446, -0.0280623, -0.0520999, -1.57003, -0.0542977, -0, -0
0.002, -0.282877, -0.446301, -0.312263, -0.257307, 3.08485, 3.12649, 1.57075, -1.57078, -0.00457208, -0.00213666, -0.293007, -0.458754, -0.287449, -0.448438, 0.1529, 0.00830168, -1.54438, -0.0547479, -0, -0
0.003, -0.282484, -0.446651, -0.31837, -0.268972, 3.12728, 3.18974, 1.57073, -1.57079, -0.00487689, -0.00178055, -0.292891, -0.458696, -0.28736, -0.448431, 0.0887368, 0.00658097, -1.58924, -0.0561373, -0, -0
0.004, -0.283654, -0.449882, -0.326293, -0.282303, 3.16971, 3.25298, 1.57071, -1.57079, -0.00365767, 0.00142444, -0.292814, -0.458671, -0.287312, -0.448457, 0.0489063, -0.0260088, -1.63689, -0.0580729, -0, -0
0.005, -0.287627, -0.451381, -0.337497, -0.294663, 3.21213, 3.31623, 1.57071, -1.57078, 0.000304806, 0.00284888, -0.292798, -0.458695, -0.287322, -0.448532, -0.0109595, -0.0750328, -1.70376, -0.060402, -0, -0
0.006, -0.287393, -0.450052, -0.343825, -0.305401, 3.25456, 3.37947, 1.57071, -1.57076, 0, 0.00142444, -0.292841, -0.458739, -0.287393, -0.448628, -0.0707573, -0.0953513, -1.75002, -0.0619729, -0, -0
0.007, -0.286812, -0.450826, -0.349745, -0.317343, 3.29698, 3.44272, 1.57071, -1.57076, -0.000609611, 0.00213666, -0.292842, -0.45875, -0.287422, -0.448689, -0.0284766, -0.0615037, -1.77075, -0.0632252, -0, -0
0.008, -0.284663, -0.450525, -0.353834, -0.328671, 3.33941, 3.50596, 1.5707, -1.57075, -0.00274325, 0.00178055, -0.2928, -0.458755, -0.287406, -0.448745, 0.0158711, -0.0556365, -1.78364, -0.064496, -0, -0
0.009, -0.278996, -0.448376, -0.353824, -0.338929, 3.38184, 3.56921, 1.57066, -1.57074, -0.00822975, -0.000356109, -0.292593, -0.458693, -0.287225, -0.448732, 0.180471, 0.012565, -1.75029, -0.0648733, -0, -0
0.01, -0.275933, -0.446867, -0.356809, -0.34954, 3.42426, 3.63246, 1.5706, -1.57075, -0.010973, -0.00178055, -0.292248, -0.45856, -0.286906, -0.448648, 0.319727, 0.0844907, -1.73613, -0.0655639, -0, -0
0.011, -0.281433, -0.447846, -0.369698, -0.361572, 3.46669, 3.6957, 1.57054, -1.57077, -0.00518169, -0.000712219, -0.291932, -0.458421, -0.286614, -0.448558, 0.291278, 0.0892439, -1.80584, -0.0678243, -0, -0
0.012, -0.289694, -0.451475, -0.385884, -0.375144, 3.50912, 3.75895, 1.57054, -1.57076, 0.00304806, 0.00284888, -0.291937, -0.45844, -0.286646, -0.448627, -0.031378, -0.0681496, -1.96085, -0.0717305, -0, -0
0.013, -0.292895, -0.451948, -0.39625, -0.386925, 3.55154, 3.82219, 1.57056, -1.57075, 0.00609611, 0.00320499, -0.292062, -0.458507, -0.286798, -0.448743, -0.152741, -0.116314, -2.04274, -0.0741734, -0, -0
0.014, -0.291484, -0.452046, -0.401238, -0.398492, 3.59397, 3.88544, 1.57058, -1.57074, 0.00457208, 0.00320499, -0.292149, -0.458556, -0.286912, -0.448841, -0.113589, -0.0978986, -2.06324, -0.0756338, -0, -0
0.015, -0.284831, -0.451061, -0.400094, -0.409435, 3.6364, 3.94868, 1.57058, -1.57072, -0.00213364, 0.00213666, -0.292176, -0.458591, -0.286965, -0.448924, -0.0526478, -0.0834618, -2.05153, -0.0765265, -0, -0
0.016, -0.277674, -0.44928, -0.398357, -0.41991, 3.67882, 4.01193, 1.57054, -1.57072, -0.00914417, 0.000356109, -0.292004, -0.458542, -0.286818, -0.448924, 0.146367, 0.000385659, -2.00427, -0.0768474, -0, -0
0.017, -0.274781, -0.449269, -0.401533, -0.431392, 3.72125, 4.07517, 1.57051, -1.57072, -0.0118874, 0.000356109, -0.291829, -0.458483, -0.286669, -0.448913, 0.149463, 0.0112056, -2.02583, -0.0782839, -0, -0
0.018, -0.272384, -0.448505, -0.405265, -0.44244, 3.76368, 4.13842, 1.57046, -1.57072, -0.0140211, -0.000356109, -0.291541, -0.458384, -0.286405, -0.448861, 0.263954, 0.051695, -2.0239, -0.0795511, -0, -0
0.019, -0.273199, -0.44876, -0.412688, -0.454069, 3.8061, 4.20167, 1.57038, -1.57072, -0.0128018, 0, -0.291113, -0.458236, -0.286, -0.44876, 0.40449, 0.101143, -2.03319, -0.0811828, -0, -0
0.02, -0.278512, -0.448381, -0.425324, -0.465334, 3.84853, 4.26491, 1.57034, -1.57072, -0.00731533, -0.000356109, -0.290915, -0.458166, -0.285827, -0.448737, 0.173257, 0.0228461, -2.15493, -0.0842441, -0, -0
0.021, -0.283946, -0.448398, -0.43817, -0.476825, 3.89095, 4.32816, 1.57032, -1.57072, -0.00182883, -0.000356109, -0.290838, -0.458136, -0.285775, -0.448754, 0.0518696, -0.0167655, -2.25225, -0.0870855, -0, -0
0.022, -0.288578, -0.448811, -0.450146, -0.488544, 3.93338, 4.3914, 1.57033, -1.57072, 0.00274325, 0, -0.290872, -0.458147, -0.285835, -0.448811, -0.0592226, -0.0576093, -2.34376, -0.089899, -0, -0
0.023, -0.289947, -0.449617, -0.458355, -0.500494, 3.97581, 4.45465, 1.57035, -1.57072, 0.00396247, 0.000712219, -0.290996, -0.458193, -0.285984, -0.448905, -0.149797, -0.0933097, -2.41354, -0.0923672, -0, -0
0.024, -0.284831, -0.449685, -0.459, -0.512025, 4.01823, 4.51789, 1.57036, -1.57072, -0.00121922, 0.000712219, -0.291036, -0.458214, -0.28605, -0.448973, -0.0656675, -0.0680254, -2.40707, -0.0936678, -0, -0
0.025, -0.280506, -0.448992, -0.460548, -0.523117, 4.06066, 4.58114, 1.57034, -1.57072, -0.0054865, 0, -0.290954, -0.458188, -0.285992, -0.448992, 0.0579083, -0.0196488, -2.39554, -0.0948775, -0, -0
0.026, -0.27701, -0.448981, -0.46304, -0.534596, 4.10309, 4.64438, 1.57031, -1.57072, -0.00883936, 0, -0.290787, -0.458131, -0.285849, -0.448981, 0.142954, 0.0116745, -2.39785, -0.0963687, -0, -0
0.027, -0.276624, -0.449242, -0.469112, -0.546233, 4.14551, 4.70763, 1.57023, -1.57072, -0.00883936, 0.000356109, -0.290379, -0.457991, -0.285463, -0.448886, 0.385911, 0.0944157, -2.3802, -0.0978688, -0, -0
0.028, -0.283173, -0.44887, -0.48323, -0.557506, 4.18794, 4.77088, 1.5702, -1.57072, -0.00213364, 0, -0.290199, -0.457929, -0.285307, -0.44887, 0.156362, 0.0166679, -2.5132, -0.101304, -0, -0
0.029, -0.286559, -0.448917, -0.493742, -0.569018, 4.23037, 4.83412, 1.5702, -1.57072, 0.00121922, 0, -0.290207, -0.457931, -0.285339, -0.448917, -0.0325664, -0.0471332, -2.61995, -0.104342, -0, -0
0.03, -0.285992, -0.449322, -0.499673, -0.580738, 4.27279, 4.89737, 1.57021, -1.57072, 0.000609611, 0.000356109, -0.290225, -0.457936, -0.285382, -0.448966, -0.0427061, -0.0494816, -2.66295, -0.106545, -0, -0
